category,member,"og clr",typed,"rt typed","chosen clr","rt clr","clr dif"
Baking,Tray,112.45,,,,,
Writing,Notebook,74.95,,,,,
Kitchen,Tuperwear,44.95,,,,,
Toys,Dice,221.2,,,,,
Accessories,Ring,202.45,,,,,
Kitchen,Fridge,101.2,,,,,
Furniture,Drawer,157.45,,,,,
Toys,"Teddy Bear",247.45,,,,,
Crafts,Tape,236.2,,,,,
Boating,Seadoo,142.45,,,,,
Bathroom,Mirror,82.45,,,,,
Accessories,Earings,153.7,E,15.004,35,15.003,-118.70
Baking,Mixer,273.7,,,,,
Medical,"First Aid Kit",56.2,,,,,
Electronics,Projector,251.2,,,,,
Accessories,Belt,198.7,,,,,
Furniture,Table,232.45,,,,,
Writing,Pen,266.2,,,,,
Bathroom,Toothbrush,307.45,,,,,
Kitchen,Blender,7.45,,,,,
Crafts,Yarn,11.2,,,,,
Sports,Weight,149.95,,,,,
Tools,Clamp,89.95,,,,,
Tools,Shovel,318.7,,,,,
Accessories,Sunglasses,337.45,,,,,
Crafts,Ribbon,29.95,,,,,
Clothing,Boots,288.7,,,,,
Accessories,Necklace,179.95,,,,,
Drinking,Bottle,224.95,,,,,
Instruments,Guitar,292.45,,,,,
Tools,Knife,269.95,,,,,
Boating,Lifejacket,183.7,,,,,
Furniture,Hanger,213.7,,,,,
Bathroom,Lufa,48.7,,,,,
Drinking,Mug,281.2,,,,,
Bathroom,Comb,258.7,,,,,
Baking,Pinroller,254.95,,,,,
Clothing,Dress,116.2,,,,,
Boating,Kayak,329.95,,,,,
Baking,"Oven Mit",299.95,,,,,
Medical,"Ice Pack",168.7,,,,,
Baking,Spoon,194.95,,,,,
Sports,"Jump Rope",86.2,,,,,
Instruments,Violin,33.7,,,,,
Tools,Wrench,41.2,,,,,
Bathroom,"Hair Dryer",78.7,,,,,
Writing,Sharpener,67.45,,,,,
Clothing,Pants,359.95,,,,,
Drinking,Can,296.2,,,,,
Furniture,Sofa,348.7,,,,,
Baking,"Cookie Cutter",209.95,,,,,
Crafts,Sissors,314.95,,,,,
Boating,Anchor,239.95,,,,,
Kitchen,Pan,326.2,,,,,
Bathroom,Soap,52.45,,,,,
Toys,Yoyo,131.2,,,,,
Furniture,Chair,59.95,,,,,
Instruments,Recorder,123.7,,,,,
Medical,Medicine,344.95,,,,,
Toys,Balloon,63.7,,,,,
Writing,Eraser,108.7,,,,,
Writing,Highlighter,206.2,,,,,
Tools,Drill,243.7,,,,,
Medical,Bandage,37.45,,,,,
Crafts,Paintbrush,22.45,,,,,
Boating,Buoy,26.2,Bdd,15.005,177,2.967,150.80
Electronics,Camera,3.7,,,,,
Kitchen,Microwave,187.45,,,,,
Writing,Crayon,262.45,,,,,
Electronics,Keyboard,104.95,,,,,
Clothing,Mittens,356.2,,,,,
Toys,Lego,341.2,,,,,
Clothing,Jacket,97.45,,,,,
Instruments,Harmonica,14.95,,,,,
Furniture,Lamp,191.2,,,,,
Drinking,Glass,176.2,,,,,
Sports,Racket,322.45,,,,,
Boating,Paddle,71.2,,,,,
Electronics,Monitor,164.95,,,,,
Sports,Basketball,119.95,,,,,
Crafts,GlueGun,311.2,,,,,
Electronics,Radio,277.45,,,,,
Tools,Trimmer,352.45,,,,,
Medical,Wheelchair,303.7,,,,,
Sports,Shuttle,284.95,,,,,
Instruments,Accordian,18.7,,,,,
Accessories,Watch,127.45,,,,,
Drinking,Thermos,138.7,,,,,
Kitchen,Coffeemaker,172.45,,,,,
Sports,Puck,333.7,,,,,
Medical,Stethiscope,93.7,,,,,
Instruments,Drum,228.7,,,,,
Drinking,Flask,146.2,,,,,
Electronics,Television,134.95,,,,,
Clothing,Shorts,161.2,,,,,
Toys,Robot,217.45,,,,,
